Scenario ID,Feature Name,Behavior,Last Modified,Created,Subsystem,System (from Subsystem)
CHAIN_NOTIFY_001,Chain Notify,returns a channel that streams chain head updates,Nikola Divic,"November 1, 2021",Blockstore,Blockchain
CHAIN_NOTIFY_002,Chain Notify,"first message is guaranteed to be of len == 1, and type == “current”",Nikola Divic,"November 1, 2021",Blockstore,Blockchain
STATE_SEARCH_001,State Search Message,Returns the message receipt and the tipset where it was executed,Nikola Divic,"November 1, 2021",State Tree,Blockchain
STATE_SEARCH_002,State Search Message,"Given a replacing message existing on the chain and allowReplaced=true , it returns the replacing message (not the original)",Nikola Divic,"November 1, 2021",State Tree,Blockchain
STATE_SEARCH_003,State Search Message,"given a replacing message exists on the chain and allowReplaced=false, it returns the original message",Nikola Divic,"November 1, 2021",State Tree,Blockchain
API_VERSION_001,API Version,Returns the actual build version of the node,Nikola Divic,"November 1, 2021",Common,API
BIG_INT_001,Big Int ,"Succeeds if bigint conversion, marshal, unmarshal and comparison work",Nikola Divic,"October 25, 2021",Common,Blockchain
BIG_INT_002,Big Int,Succeeds if FIL value parses correctly and values match,Nikola Divic,"October 25, 2021",Common,Blockchain
BIG_INT_003,Big Int,Succeeds if the number value equals to the string value,Nikola Divic,"October 25, 2021",Common,Blockchain
BIG_INT_005,Big Int,Succeeds if ZiB converts properly ,Nikola Divic,"October 25, 2021",Common,Blockchain
BLOCK_HDR_001,Block Header,Succeeds if CBOR marshals and unmarshals properly. ,Nikola Divic,"October 25, 2021",Common,Blockchain
BLOCK_HDR_002,Block Header,Succeeds if a Block Header is properly encoded,Nikola Divic,"October 25, 2021",Common,Blockchain
BLOCK_HDR_003,Block Header,Succeeds if Block Headers get properly marshalled ,Nikola Divic,"October 25, 2021",Common,Blockchain
CHAIN_BLOCKSTORE_001,Non Prefixed,Runs all Non-Prefixed methods from a suite,Nemanja Radenkovic,"November 1, 2021",Blockstore,Blockchain
CHAIN_BLOCKSTORE_002,Prefixed,Runs all Prefixed methods from a suite,Nemanja Radenkovic,"November 1, 2021",Blockstore,Blockchain
CHAIN_BLOCKSTORE_INFO_001,Chain Get Blockstore Info,Returns basic information about the underlying blockstore,Nikola Divic,"October 31, 2021",Blockstore,Blockchain
CHAIN_CHECK_BLOCKSTORE_001,Chain Check Blockstore,Performs an (async) health check on the chain/state blockstore if supported by the underlying implementation,Nikola Divic,"November 3, 2021",Blockstore,Blockchain
CHAIN_DELETE_OBJ_001,Chain Delete Object,"Given a known CID and the user has admin privileges, delete the node with the specified CID from the chain blockstore",Nikola Divic,"November 1, 2021",Blockstore,Blockchain
CHAIN_EXPORT_001,Chain Export,"Given a known Tipset key and nroots, return a stream of bytes including the header chain from the given tipset back to genesis, the entire genesis state, and the most recent nroots state trees",Nikola Divic,"October 31, 2021",Blockstore,Blockchain
CHAIN_EXPORT_002,Chain Export,"Given oldmsgskip is true, messages from before the requested roots are not included",Nikola Divic,"October 31, 2021",Blockstore,Blockchain
CHAIN_GET_BLOCK_001,Get Block,"Given a known block CID, returns the corresponding block",Nikola Divic,"November 1, 2021",Blockstore,Blockchain
CHAIN_GET_BLOCK_002,Get Block,"Given an unknown block CID, return a ""Not Found"" error",Nikola Divic,"November 1, 2021",Blockstore,Blockchain
CHAIN_GET_BLOCK_MESSAGES_001,Get Block Messages,"Given an existing block CID, returns messages in the specified block",Nikola Divic,"November 1, 2021",Blockstore,Blockchain
CHAIN_GET_GENESIS_001,Chain Get Genesis,Returns the genesis tipset,Nikola Divic,"November 1, 2021",Blockstore,Blockchain
CHAIN_GET_MESSAGE_001,Chain Get Message,"Given a known message CID, return the message from the blockstore with specifed CID",Nikola Divic,"October 31, 2021",Blockstore,Blockchain
CHAIN_GET_MESSAGES_IN_TIPSET_001,Get Messages in Tipset,"Given a known tipset key, return messsages stored in the specified tipset",Nikola Divic,"November 1, 2021",Blockstore,Blockchain
CHAIN_GET_PARENT_MESSAGES_001,Get Parent Messages,"Given a known block CID, returns messages stored in parent tipset of the specified block",Nikola Divic,"November 1, 2021",Blockstore,Blockchain
CHAIN_GET_PARENT_MESSAGES_002,Get Parent Messages,"Given a known block CID, return the same list of messages as CHAIN_GET_PARENT_RECEIPTS_001",Nikola Divic,"November 1, 2021",Blockstore,Blockchain
CHAIN_GET_PARENT_RECEIPTS_001,Get Parent Receipts,"Given a known block CID, returns receipts for messages in the parent tipset of the specified block",Nikola Divic,"November 1, 2021",Blockstore,Blockchain
CHAIN_GET_PARENT_RECEIPTS_002,Get Parent Receipts,"Given a known block CID, return the same list of messages as CHAIN_GET_PARENT_MESSAGES_001",Nikola Divic,"November 1, 2021",Blockstore,Blockchain
CHAIN_GET_PATH_001,Chain Get Path,"Given two known Tipset keys, return a set of revert/apply operations needed to get from one tipset to another",Nikola Divic,"October 31, 2021",Blockstore,Blockchain
CHAIN_GET_TIPSET_001,Get Tipset,"Given a Tipset key, return the tipset",Nikola Divic,"November 1, 2021",Blockstore,Blockchain
CHAIN_GET_TIPSET_AFTER_HEIGHT_001,Get Tipset after height,"Given a chain epoch (height), return the tipset at the specified epoch",Nikola Divic,"November 1, 2021",Blockstore,Blockchain
CHAIN_GET_TIPSET_AFTER_HEIGHT_001,Get Tipset after height,"Given there are no blocks at the specified epoch, return the first non-ni tipset at a later epoch",Nikola Divic,"November 1, 2021",Blockstore,Blockchain
CHAIN_GET_TIPSET_BY_HEIGHT_001,Get Tipset by height,"Given a chain epoch (height), return the tipset at the specified epoch",Nikola Divic,"November 1, 2021",Blockstore,Blockchain
CHAIN_GET_TIPSET_BY_HEIGHT_002,Get Tipset by height,"Given there are no blocks at the specified epoch, return a tipset at an earlier epoch",Nikola Divic,"November 1, 2021",Blockstore,Blockchain
CHAIN_HAS_OBJ_001,Chain Has Object,"Given a CID of an object that exists in the chain blockstore, return true",Nikola Divic,"November 1, 2021",Blockstore,Blockchain
CHAIN_HAS_OBJ_002,Chain Has Object,"Given a CID of an object that doesn't exist in the chain blockstore, return false",Nikola Divic,"November 1, 2021",Blockstore,Blockchain
CHAIN_HEAD_001,Get Chain Head,"Returns the current TipSet of the chain",Nikola Divic,"November 1, 2021",Blockstore,Blockchain
CHAIN_READ_OBJ_001,Chain Read Object,"Given a known CID, return raw bytes of IPLD nodes from the chain blockstore referenced by the specifed CID",Nikola Divic,"November 1, 2021",Blockstore,Blockchain
CHAIN_SET_HEAD_001,Chain Set Head,"Given a known tipset key and that the user has admin privileges, forcefully set the current chain head",Nikola Divic,"November 1, 2021",Blockstore,Blockchain
CHAIN_STAT_OBJ_001,Chain Stat Object,"Given a known CID, return statistics about the graph referenced by the specified CID",Nikola Divic,"November 1, 2021",Blockstore,Blockchain
CHAIN_STAT_OBJ_002,Chain Stat Object,"Given a known CID and a base CID, return the difference betwen the objects referenced by the two CIDs",Nikola Divic,"November 1, 2021",Blockstore,Blockchain
CHAIN_TIPSET_WEIGHT_001,Chain Tipset Weight,"Given a known tipset key, compute and return the weight of the specifed tipset",Nikola Divic,"November 1, 2021",Blockstore,Blockchain
CLIENT_BLOCKSTORE_001,Read/Write blockstore,Creates a new Read/Write at the given path with a provided set of root CIDs and options.,Nemanja Radenkovic,"October 31, 2021",Blockstore,Blockchain
CLIENT_CALC_COMMP_001,Client Calculate CommP,"Given a file path, calculate the CommP for the specified file",Nikola Divic,"October 31, 2021",Common,Client
CLIENT_CREATE_DEAL_001,Client Create Deal,"Given a start epoch, CID, miner address, price & duration,  create a deal",Nikola Divic,"November 1, 2021",Storage Deals,Client
CLIENT_DEAL_PIECE_CID_001,Client Deal Piece CID,"Given a root CID, calculate the CommP and data size of the specified CID",Nikola Divic,"October 31, 2021",Retrieval,Client
CLIENT_DEAL_SIZE_001,Client Deal Size,"Given a root CID, calculate the real data size for the specified CID",Nikola Divic,"October 31, 2021",Common,Client
CLIENT_FIND_DATA_001,Client Find Data,"Given root and piece CIDs, return query offers from peers that have the file piece referenced by CIDs",Nikola Divic,"October 31, 2021",Retrieval,Client
